date_sk,date,year,month,year_month,day,weekday
-1,,,,UNKNOWN,,
20250417,2025-04-17,2025,4,2025-04,17,4
20250418,2025-04-18,2025,4,2025-04,18,5
20250419,2025-04-19,2025,4,2025-04,19,6
20250420,2025-04-20,2025,4,2025-04,20,0
20250421,2025-04-21,2025,4,2025-04,21,1
20250422,2025-04-22,2025,4,2025-04,22,2
20250423,2025-04-23,2025,4,2025-04,23,3
20250424,2025-04-24,2025,4,2025-04,24,4
20250425,2025-04-25,2025,4,2025-04,25,5
20250426,2025-04-26,2025,4,2025-04,26,6
20250427,2025-04-27,2025,4,2025-04,27,0
20250428,2025-04-28,2025,4,2025-04,28,1
20250429,2025-04-29,2025,4,2025-04,29,2
20250430,2025-04-30,2025,4,2025-04,30,3
20250501,2025-05-01,2025,5,2025-05,1,4
20250502,2025-05-02,2025,5,2025-05,2,5
20250503,2025-05-03,2025,5,2025-05,3,6
20250504,2025-05-04,2025,5,2025-05,4,0
20250505,2025-05-05,2025,5,2025-05,5,1
20250506,2025-05-06,2025,5,2025-05,6,2
20250507,2025-05-07,2025,5,2025-05,7,3
20250508,2025-05-08,2025,5,2025-05,8,4
20250509,2025-05-09,2025,5,2025-05,9,5
20250510,2025-05-10,2025,5,2025-05,10,6
20250511,2025-05-11,2025,5,2025-05,11,0
20250512,2025-05-12,2025,5,2025-05,12,1
20250513,2025-05-13,2025,5,2025-05,13,2
20250514,2025-05-14,2025,5,2025-05,14,3
20250515,2025-05-15,2025,5,2025-05,15,4
20250516,2025-05-16,2025,5,2025-05,16,5
20250517,2025-05-17,2025,5,2025-05,17,6
20250518,2025-05-18,2025,5,2025-05,18,0
20250519,2025-05-19,2025,5,2025-05,19,1
20250520,2025-05-20,2025,5,2025-05,20,2
20250521,2025-05-21,2025,5,2025-05,21,3
20250522,2025-05-22,2025,5,2025-05,22,4
20250523,2025-05-23,2025,5,2025-05,23,5
20250524,2025-05-24,2025,5,2025-05,24,6
20250525,2025-05-25,2025,5,2025-05,25,0
20250526,2025-05-26,2025,5,2025-05,26,1
20250527,2025-05-27,2025,5,2025-05,27,2
20250528,2025-05-28,2025,5,2025-05,28,3
20250529,2025-05-29,2025,5,2025-05,29,4
20250530,2025-05-30,2025,5,2025-05,30,5
20250531,2025-05-31,2025,5,2025-05,31,6
20250601,2025-06-01,2025,6,2025-06,1,0
20250602,2025-06-02,2025,6,2025-06,2,1
20250603,2025-06-03,2025,6,2025-06,3,2
20250604,2025-06-04,2025,6,2025-06,4,3
20250605,2025-06-05,2025,6,2025-06,5,4
20250606,2025-06-06,2025,6,2025-06,6,5
20250607,2025-06-07,2025,6,2025-06,7,6
20250608,2025-06-08,2025,6,2025-06,8,0
20250609,2025-06-09,2025,6,2025-06,9,1
20250610,2025-06-10,2025,6,2025-06,10,2
20250611,2025-06-11,2025,6,2025-06,11,3
20250612,2025-06-12,2025,6,2025-06,12,4
20250613,2025-06-13,2025,6,2025-06,13,5
20250614,2025-06-14,2025,6,2025-06,14,6
20250615,2025-06-15,2025,6,2025-06,15,0
20250616,2025-06-16,2025,6,2025-06,16,1
20250617,2025-06-17,2025,6,2025-06,17,2
20250618,2025-06-18,2025,6,2025-06,18,3
20250619,2025-06-19,2025,6,2025-06,19,4
20250620,2025-06-20,2025,6,2025-06,20,5
20250621,2025-06-21,2025,6,2025-06,21,6
20250622,2025-06-22,2025,6,2025-06,22,0
20250623,2025-06-23,2025,6,2025-06,23,1
20250624,2025-06-24,2025,6,2025-06,24,2
20250625,2025-06-25,2025,6,2025-06,25,3
20250626,2025-06-26,2025,6,2025-06,26,4
20250627,2025-06-27,2025,6,2025-06,27,5
20250628,2025-06-28,2025,6,2025-06,28,6
20250629,2025-06-29,2025,6,2025-06,29,0
20250630,2025-06-30,2025,6,2025-06,30,1
20250701,2025-07-01,2025,7,2025-07,1,2
20250702,2025-07-02,2025,7,2025-07,2,3
20250703,2025-07-03,2025,7,2025-07,3,4
20250704,2025-07-04,2025,7,2025-07,4,5
20250705,2025-07-05,2025,7,2025-07,5,6
20250706,2025-07-06,2025,7,2025-07,6,0
20250707,2025-07-07,2025,7,2025-07,7,1
20250708,2025-07-08,2025,7,2025-07,8,2
20250709,2025-07-09,2025,7,2025-07,9,3
20250710,2025-07-10,2025,7,2025-07,10,4
20250711,2025-07-11,2025,7,2025-07,11,5
20250712,2025-07-12,2025,7,2025-07,12,6
20250713,2025-07-13,2025,7,2025-07,13,0
20250714,2025-07-14,2025,7,2025-07,14,1
20250715,2025-07-15,2025,7,2025-07,15,2
20250716,2025-07-16,2025,7,2025-07,16,3
20250717,2025-07-17,2025,7,2025-07,17,4
20250718,2025-07-18,2025,7,2025-07,18,5
20250719,2025-07-19,2025,7,2025-07,19,6
20250720,2025-07-20,2025,7,2025-07,20,0
20250721,2025-07-21,2025,7,2025-07,21,1
20250722,2025-07-22,2025,7,2025-07,22,2
20250723,2025-07-23,2025,7,2025-07,23,3
20250724,2025-07-24,2025,7,2025-07,24,4
20250725,2025-07-25,2025,7,2025-07,25,5
20250726,2025-07-26,2025,7,2025-07,26,6
20250727,2025-07-27,2025,7,2025-07,27,0
20250728,2025-07-28,2025,7,2025-07,28,1
20250729,2025-07-29,2025,7,2025-07,29,2
20250730,2025-07-30,2025,7,2025-07,30,3
20250731,2025-07-31,2025,7,2025-07,31,4
20250801,2025-08-01,2025,8,2025-08,1,5
20250802,2025-08-02,2025,8,2025-08,2,6
20250803,2025-08-03,2025,8,2025-08,3,0
20250804,2025-08-04,2025,8,2025-08,4,1
20250805,2025-08-05,2025,8,2025-08,5,2
20250806,2025-08-06,2025,8,2025-08,6,3
20250807,2025-08-07,2025,8,2025-08,7,4
20250808,2025-08-08,2025,8,2025-08,8,5
20250809,2025-08-09,2025,8,2025-08,9,6
20250810,2025-08-10,2025,8,2025-08,10,0
20250811,2025-08-11,2025,8,2025-08,11,1
20250812,2025-08-12,2025,8,2025-08,12,2
20250813,2025-08-13,2025,8,2025-08,13,3
20250814,2025-08-14,2025,8,2025-08,14,4
20250815,2025-08-15,2025,8,2025-08,15,5
20250816,2025-08-16,2025,8,2025-08,16,6
20250817,2025-08-17,2025,8,2025-08,17,0
20250818,2025-08-18,2025,8,2025-08,18,1
20250819,2025-08-19,2025,8,2025-08,19,2
20250820,2025-08-20,2025,8,2025-08,20,3
