booking_sk,booking_id,passenger_sk,flight_sk,booking_date_sk,status_sk,has_unresolved_flight,has_unresolved_passenger
1,B1000,592,463,20250614,2,false,false
2,B1001,804,26,20251102,2,false,false
3,B1002,84,536,20250825,2,false,false
4,B1003,365,340,20251230,1,false,false
5,B1004,886,776,20251002,3,false,false
6,B1005,549,319,20250831,1,false,false
7,B1006,342,411,20250629,2,false,false
8,B1007,839,940,20260312,1,false,false
9,B1008,407,516,20250907,3,false,false
10,B1009,425,684,20250428,2,false,false
11,B1010,744,426,20251124,1,false,false
12,B1011,93,450,20251025,1,false,false
13,B1012,848,408,20250815,3,false,false
14,B1013,614,527,20250720,1,false,false
15,B1014,412,698,20250915,3,false,false
16,B1015,432,867,20251021,-1,false,false
17,B1016,678,800,20260113,2,false,false
18,B1017,159,840,20260404,1,false,false
19,B1018,14,196,20260325,2,false,false
20,B1019,373,164,20250731,2,false,false
21,B1020,225,638,20251206,1,false,false
22,B1021,505,190,20251207,2,false,false
23,B1022,73,351,20260325,1,false,false
24,B1023,249,213,20260203,3,false,false
25,B1024,511,386,20250621,3,false,false
26,B1025,603,575,20260318,3,false,false
27,B1026,216,329,20250627,1,false,false
28,B1027,973,809,20250725,1,false,false
29,B1028,602,765,20250525,2,false,false
30,B1029,541,25,20250606,2,false,false
31,B1030,947,236,20260318,2,false,false
32,B1031,817,331,20251116,2,false,false
33,B1032,939,794,20250903,2,false,false
34,B1033,988,799,20250506,-1,false,false
35,B1034,220,705,20251231,1,false,false
36,B1035,840,250,20250821,3,false,false
37,B1036,727,675,20251124,3,false,false
38,B1037,221,459,20260320,3,false,false
39,B1038,389,619,20260101,3,false,false
40,B1039,554,731,20250821,1,false,false
41,B1040,647,99,20250808,1,false,false
42,B1041,42,949,20250528,1,false,false
43,B1042,676,973,20251202,2,false,false
44,B1043,873,195,20251122,2,false,false
45,B1044,283,174,20260412,3,false,false
46,B1045,58,740,20260319,-1,false,false
47,B1046,814,832,20251014,1,false,false
48,B1047,834,151,20251229,3,false,false
49,B1048,537,762,20250919,3,false,false
50,B1049,73,679,20250728,4,false,false
51,B1050,885,491,20260115,3,false,false
52,B1051,923,28,20250705,2,false,false
53,B1052,129,982,20251230,2,false,false
54,B1053,599,989,20260401,3,false,false
55,B1054,842,403,20260411,2,false,false
56,B1055,426,12,20251014,2,false,false
57,B1056,948,946,20260324,2,false,false
58,B1057,665,573,20250820,2,false,false
59,B1058,694,569,20251207,3,false,false
60,B1059,125,913,20260103,1,false,false
61,B1060,67,86,20251230,1,false,false
62,B1061,6,114,20260405,2,false,false
63,B1062,637,926,20250612,2,false,false
64,B1063,314,149,20250519,2,false,false
65,B1064,326,918,20250914,1,false,false
66,B1065,565,783,20260306,2,false,false
67,B1066,578,529,20251105,3,false,false
68,B1067,826,686,20250723,3,false,false
69,B1068,506,997,20251122,3,false,false
70,B1069,82,925,20250802,1,false,false
71,B1070,599,560,20250922,2,false,false
72,B1071,2,988,20251221,2,false,false
73,B1072,204,862,20250810,2,false,false
74,B1073,662,180,20251204,1,false,false
75,B1074,805,188,20250925,1,false,false
76,B1075,404,904,20260103,1,false,false
77,B1076,103,828,20250504,1,false,false
78,B1077,536,954,20250503,3,false,false
79,B1078,368,77,20250921,1,false,false
80,B1079,212,611,20250603,1,false,false
81,B1080,577,549,20250605,1,false,false
82,B1081,961,728,20251113,2,false,false
83,B1082,209,676,20250909,2,false,false
84,B1083,763,642,20250512,2,false,false
85,B1084,897,269,20250614,3,false,false
86,B1085,117,923,20260324,3,false,false
87,B1086,628,763,20260216,1,false,false
88,B1087,749,492,20250508,2,false,false
89,B1088,478,607,20260325,3,false,false
90,B1089,105,962,20250903,2,false,false
91,B1090,495,594,20250516,3,false,false
92,B1091,771,43,20250818,3,false,false
93,B1092,46,960,20260318,1,false,false
94,B1093,823,847,20250511,1,false,false
95,B1094,331,777,20260107,3,false,false
96,B1095,216,194,20250730,1,false,false
97,B1096,982,841,20260103,3,false,false
98,B1097,960,17,20250826,-1,false,false
99,B1098,492,245,20251015,-1,false,false
100,B1099,813,253,20251207,1,false,false
101,B1100,922,850,20260305,1,false,false
102,B1101,845,300,20250719,1,false,false
103,B1102,449,722,20251006,4,false,false
104,B1103,536,513,20250808,2,false,false
105,B1104,511,513,20250912,2,false,false
106,B1105,458,570,20250911,1,false,false
107,B1106,547,836,20250901,1,false,false
108,B1107,536,327,20250519,1,false,false
109,B1108,540,980,20251011,2,false,false
110,B1109,484,939,20251203,2,false,false
111,B1110,976,260,20251217,3,false,false
112,B1111,1000,907,20251225,2,false,false
113,B1112,16,152,20251002,3,false,false
114,B1113,571,615,20251123,1,false,false
115,B1114,977,123,20250926,2,false,false
116,B1115,243,296,20250823,1,false,false
117,B1116,950,30,20251205,1,false,false
118,B1117,207,748,20250902,1,false,false
119,B1118,912,882,20260403,1,false,false
120,B1119,271,643,20251125,2,false,false
121,B1120,761,668,20250812,1,false,false
122,B1121,994,668,20250601,3,false,false
123,B1122,779,301,20250502,2,false,false
124,B1123,705,97,20250923,1,false,false
125,B1124,847,129,20250523,2,false,false
126,B1125,730,181,20260115,3,false,false
127,B1126,115,343,20251020,1,false,false
128,B1127,580,680,20250629,3,false,false
129,B1128,299,302,20260408,1,false,false
130,B1129,837,302,20250918,3,false,false
131,B1130,483,158,20251226,1,false,false
132,B1131,397,184,20250616,2,false,false
133,B1132,394,914,20250620,1,false,false
134,B1133,75,168,20251229,2,false,false
135,B1134,978,51,20250728,1,false,false
136,B1135,482,47,20251202,1,false,false
137,B1136,103,929,20251026,3,false,false
138,B1137,297,365,20250901,3,false,false
139,B1138,178,309,20250714,3,false,false
140,B1139,215,254,20260119,1,false,false
141,B1140,967,551,20260123,1,false,false
142,B1141,315,711,20251028,1,false,false
143,B1142,39,258,20260121,2,false,false
144,B1143,259,73,20260407,2,false,false
145,B1144,716,362,20250926,1,false,false
146,B1145,7,191,20250823,3,false,false
147,B1146,49,1001,20250830,3,false,false
148,B1147,538,146,20260325,3,false,false
149,B1148,161,68,20251013,1,false,false
150,B1149,869,744,20260108,3,false,false
151,B1150,176,856,20250925,1,false,false
152,B1151,591,533,20260118,2,false,false
153,B1152,2,348,20250814,3,false,false
154,B1153,895,790,20251220,2,false,false
155,B1154,455,229,20260217,3,false,false
156,B1155,928,74,20251008,1,false,false
157,B1156,644,614,20260325,1,false,false
158,B1157,276,693,20250628,1,false,false
159,B1158,498,234,20250720,1,false,false
160,B1159,629,844,20251210,3,false,false
161,B1160,676,449,20251121,2,false,false
162,B1161,800,877,20251114,1,false,false
163,B1162,28,417,20250422,4,false,false
164,B1163,333,761,20251110,2,false,false
165,B1164,1,209,20250424,1,false,false
166,B1165,188,400,20250820,2,false,false
167,B1166,56,667,20260123,1,false,false
168,B1167,547,544,20260202,2,false,false
169,B1168,112,893,20251014,2,false,false
170,B1169,798,349,20251115,1,false,false
171,B1170,310,350,20250914,3,false,false
172,B1171,36,860,20250919,2,false,false
173,B1172,439,906,20260117,1,false,false
174,B1173,729,493,20250601,2,false,false
175,B1174,592,49,20260412,2,false,false
176,B1175,826,105,20260129,3,false,false
177,B1176,595,752,20250417,2,false,false
178,B1177,577,753,20250729,2,false,false
179,B1178,325,34,20260205,1,false,false
180,B1179,640,604,20251003,1,false,false
181,B1180,307,511,20260410,3,false,false
182,B1181,534,528,20260329,2,false,false
183,B1182,728,315,20250811,2,false,false
184,B1183,619,849,20250622,2,false,false
185,B1184,109,232,20250801,3,false,false
186,B1185,372,754,20250816,2,false,false
187,B1186,357,600,20260404,1,false,false
188,B1187,181,1002,20250804,3,false,false
189,B1188,356,479,20260404,1,false,false
190,B1189,676,290,20251123,1,false,false
191,B1190,68,29,20250523,3,false,false
192,B1191,292,18,20250427,1,false,false
193,B1192,692,330,20250623,2,false,false
194,B1193,181,430,20250522,3,false,false
195,B1194,466,91,20250711,1,false,false
196,B1195,434,84,20250720,2,false,false
197,B1196,464,943,20260115,2,false,false
198,B1197,681,985,20250519,1,false,false
199,B1198,914,548,20250616,4,false,false
200,B1199,534,601,20251213,3,false,false
