payment_sk,payment_id,booking_sk,amount,amount_quality,payment_method
1,PAY1000,117,9883.49,valid,NETBANKING
2,PAY1001,739,8457.96,valid,NETBANKING
3,PAY1002,874,6495.37,valid,UPI
4,PAY1003,915,5079.38,valid,NETBANKING
5,PAY1004,968,12518.31,valid,CARD
6,PAY1005,999,7319.71,valid,CARD
7,PAY1006,545,8020.26,valid,CARD
8,PAY1007,44,8291.60,valid,UPI
9,PAY1008,509,7277.14,valid,CARD
10,PAY1009,988,4585.24,valid,CARD
11,PAY1010,165,2684.77,valid,UPI
12,PAY1011,368,2379.52,valid,CARD
13,PAY1012,857,11604.48,valid,CARD
14,PAY1013,292,4129.39,valid,NETBANKING
15,PAY1014,849,1779.42,valid,UPI
16,PAY1015,856,12165.24,valid,CARD
17,PAY1016,917,3156.86,valid,CARD
18,PAY1017,898,9752.05,valid,CARD
19,PAY1018,799,,missing,CARD
20,PAY1019,876,,non_numeric,NETBANKING
21,PAY1020,737,6802.73,valid,NETBANKING
22,PAY1021,286,1207.32,valid,NETBANKING
23,PAY1022,204,12774.63,valid,NETBANKING
24,PAY1023,684,8188.97,valid,UPI
25,PAY1024,524,,missing,CARD
26,PAY1025,819,4317.72,valid,NETBANKING
27,PAY1026,121,,missing,CARD
28,PAY1027,945,3644.17,valid,UPI
29,PAY1028,756,4760.39,valid,CARD
30,PAY1029,664,8481.40,valid,CARD
31,PAY1030,664,12656.53,valid,NETBANKING
32,PAY1031,188,6625.76,valid,NETBANKING
33,PAY1032,907,11037.65,valid,UPI
34,PAY1033,13,,non_numeric,CARD
35,PAY1034,603,4028.21,valid,NETBANKING
36,PAY1035,200,12300.69,valid,NETBANKING
37,PAY1036,586,11603.63,valid,NETBANKING
38,PAY1037,768,5997.12,valid,UPI
39,PAY1038,456,14853.28,valid,CARD
40,PAY1039,448,4676.01,valid,NETBANKING
41,PAY1040,788,4567.25,valid,CARD
42,PAY1041,840,11811.63,valid,UPI
43,PAY1042,841,7085.20,valid,CARD
44,PAY1043,71,5631.13,valid,NETBANKING
45,PAY1044,590,3501.28,valid,CARD
46,PAY1045,796,11714.65,valid,CARD
47,PAY1046,130,12008.51,valid,UPI
48,PAY1047,889,8931.90,valid,UPI
49,PAY1048,43,14402.39,valid,CARD
50,PAY1049,520,5454.29,valid,CARD
51,PAY1050,13,4074.67,valid,CARD
52,PAY1051,725,10484.53,valid,UPI
53,PAY1052,623,11617.72,valid,UPI
54,PAY1053,988,4148.68,valid,CARD
55,PAY1054,803,2072.55,valid,UPI
56,PAY1055,535,12347.23,valid,NETBANKING
57,PAY1056,302,14671.03,valid,UPI
58,PAY1057,766,10025.41,valid,UPI
59,PAY1058,527,4890.14,valid,UPI
60,PAY1059,642,14953.42,valid,NETBANKING
61,PAY1060,573,,missing,NETBANKING
62,PAY1061,115,8187.33,valid,NETBANKING
63,PAY1062,460,12554.50,valid,CARD
64,PAY1063,832,12421.49,valid,CARD
65,PAY1064,505,14087.19,valid,NETBANKING
66,PAY1065,308,12772.93,valid,CARD
67,PAY1066,932,10011.51,valid,CARD
68,PAY1067,963,9530.25,valid,CARD
69,PAY1068,325,7543.00,valid,NETBANKING
70,PAY1069,579,,missing,UPI
71,PAY1070,761,12133.03,valid,NETBANKING
72,PAY1071,175,,missing,NETBANKING
73,PAY1072,851,7542.02,valid,CARD
74,PAY1073,514,9031.14,valid,CARD
75,PAY1074,172,7227.28,valid,UPI
76,PAY1075,997,10358.84,valid,UPI
77,PAY1076,960,9818.89,valid,UPI
78,PAY1077,502,,non_numeric,UPI
79,PAY1078,977,8576.26,valid,NETBANKING
80,PAY1079,334,2238.82,valid,UPI
81,PAY1080,284,1369.37,valid,NETBANKING
82,PAY1081,475,12076.76,valid,CARD
83,PAY1082,54,4621.10,valid,UPI
84,PAY1083,458,5769.17,valid,CARD
85,PAY1084,579,1897.18,valid,CARD
86,PAY1085,420,3513.00,valid,NETBANKING
87,PAY1086,614,11718.47,valid,UPI
88,PAY1087,632,7909.43,valid,NETBANKING
89,PAY1088,703,13329.36,valid,CARD
90,PAY1089,409,6561.39,valid,UPI
91,PAY1090,982,4761.81,valid,CARD
92,PAY1091,304,5866.40,valid,CARD
93,PAY1092,935,10978.81,valid,UPI
94,PAY1093,559,8770.08,valid,UPI
95,PAY1094,222,13658.68,valid,UPI
96,PAY1095,533,9430.36,valid,NETBANKING
97,PAY1096,158,7902.25,valid,NETBANKING
98,PAY1097,348,12000.54,valid,CARD
99,PAY1098,159,14265.47,valid,UPI
100,PAY1099,889,5981.84,valid,CARD
101,PAY1100,884,4498.27,valid,CARD
102,PAY1101,922,9627.04,valid,CARD
103,PAY1102,235,7984.22,valid,CARD
104,PAY1103,662,14848.60,valid,CARD
105,PAY1104,405,7473.06,valid,UPI
106,PAY1105,257,2040.64,valid,NETBANKING
107,PAY1106,677,14683.17,valid,UPI
108,PAY1107,589,12810.22,valid,UPI
109,PAY1108,597,3495.50,valid,UPI
110,PAY1109,558,13664.47,valid,NETBANKING
111,PAY1110,905,5769.34,valid,NETBANKING
112,PAY1111,913,6279.57,valid,NETBANKING
113,PAY1112,47,13689.48,valid,UPI
114,PAY1113,213,8421.62,valid,NETBANKING
115,PAY1114,479,2928.68,valid,CARD
116,PAY1115,487,6166.79,valid,NETBANKING
117,PAY1116,571,11109.36,valid,UPI
118,PAY1117,566,3438.58,valid,UPI
119,PAY1118,342,9263.24,valid,CARD
120,PAY1119,524,10733.84,valid,NETBANKING
121,PAY1120,704,5813.95,valid,NETBANKING
122,PAY1121,503,10714.33,valid,CARD
123,PAY1122,6,13378.90,valid,UPI
124,PAY1123,821,7609.63,valid,UPI
125,PAY1124,144,6360.73,valid,NETBANKING
126,PAY1125,858,4516.22,valid,NETBANKING
127,PAY1126,261,9458.88,valid,NETBANKING
128,PAY1127,585,13317.93,valid,NETBANKING
