year,month,month_label,bookings,gross_valid_payment_amount,confirmed_payment_amount
2025,4,2025-04,48,404599.52,169447.92
2025,5,2025-05,80,726543.51,313200.03
2025,6,2025-06,89,547834.42,175062.24
2025,7,2025-07,66,550550.01,139145.09
2025,8,2025-08,101,761763.94,212778.58
2025,9,2025-09,75,502915.25,230475.31
2025,10,2025-10,76,583569.36,264592.54
2025,11,2025-11,90,509170.91,252751.29
2025,12,2025-12,89,707895.77,208636.77
2026,1,2026-01,89,698743.07,185575.93
2026,2,2026-02,68,525253.34,105530.44
2026,3,2026-03,73,421456.18,106470.52
2026,4,2026-04,56,444847.70,107735.38
