departure_hour,flight_count,avg_duration_minutes
0,27,211.03703703703704
1,35,151.5142857142857
2,41,143.12243455284553
3,40,163.02512458333334
4,35,166.28585666666666
5,35,165.65728523809523
6,31,181.48419139784946
7,32,143.40640572916666
8,34,171.6473504901961
9,29,155.13793103448276
10,45,156.97810925925924
11,40,164.60012416666666
12,37,156.24351126126123
13,58,180.50008534482757
14,59,170.54254124293786
15,54,188.0187024691358
16,59,156.33906723163844
17,43,155.67453410852713
18,40,178.325
19,34,171.0
20,55,157.25463606060603
21,47,152.7447865248227
22,49,155.08163265306123
23,44,163.70454545454547
