route_sk,source,destination,route,flight_count,avg_duration_minutes,duration_stddev_minutes,booking_count,gross_valid_payment_amount
-1,UNKNOWN,UNKNOWN,UNKNOWN,0,,,2,1236.74
1,BLR,BOM,BLR - BOM,60,147.73358166666665,73.2755428673514,62,506069.04
2,BLR,CCU,BLR - CCU,21,128.52380952380952,73.42026387443926,22,128231.68
3,BLR,DEL,BLR - DEL,19,156.94736842105263,82.89528821871762,17,89782.06
4,BLR,HYD,BLR - HYD,19,155.68421052631578,54.82897105073188,19,110095.06
5,BLR,MAA,BLR - MAA,16,187.3125,66.46495199539379,17,90963.61
6,BOM,BLR,BOM - BLR,23,176.52238768115944,69.41765499122141,24,145967.38
7,BOM,CCU,BOM - CCU,90,169.51122148148147,71.61948100252458,87,700135.30
8,BOM,DEL,BOM - DEL,39,153.82063931623932,74.30443578533998,36,299355.97
9,BOM,HYD,BOM - HYD,26,180.84615384615384,75.24150466111533,26,227516.00
10,BOM,MAA,BOM - MAA,27,183.40740740740742,78.56785661629357,28,185131.03
11,CCU,BLR,CCU - BLR,19,174.4213140350877,71.09026397914306,19,132450.75
12,CCU,BOM,CCU - BOM,33,163.96999696969695,79.97971544786438,34,150839.53
13,CCU,DEL,CCU - DEL,72,153.61118032407407,76.42354368772563,73,582851.37
14,CCU,HYD,CCU - HYD,21,152.23833174603175,68.4442398409644,21,168389.53
15,CCU,MAA,CCU - MAA,24,171.29187291666668,78.27740483086284,24,123193.32
16,DEL,BLR,DEL - BLR,28,167.39321249999998,72.03499633103368,28,199859.18
17,DEL,BOM,DEL - BOM,28,178.10714285714286,81.49247962047711,29,191097.12
18,DEL,CCU,DEL - CCU,26,151.73076923076923,85.37363928065658,24,233036.90
19,DEL,HYD,DEL - HYD,54,174.75925925925927,75.26519415575274,55,521798.78
20,DEL,MAA,DEL - MAA,23,178.7826086956522,68.23868373885958,24,101351.18
21,HYD,BLR,HYD - BLR,26,162.76942179487182,79.19343275203025,26,302331.68
22,HYD,BOM,HYD - BOM,27,155.4814814814815,84.48991628212664,26,148759.86
23,HYD,CCU,HYD - CCU,26,167.15384615384616,86.38851967339725,26,242911.11
24,HYD,DEL,HYD - DEL,42,185.35737896825395,77.69432728173422,41,305771.13
25,HYD,MAA,HYD - MAA,57,152.8072789473684,77.72638735637418,57,438428.50
26,MAA,BLR,MAA - BLR,65,172.81553794871795,79.35458223179312,64,492102.05
27,MAA,BOM,MAA - BOM,21,176.76214126984127,73.24344589965908,21,138556.55
28,MAA,CCU,MAA - CCU,24,158.54166666666666,83.9126426542641,24,178290.34
29,MAA,DEL,MAA - DEL,26,155.96173012820512,80.12504725683795,24,128295.80
30,MAA,HYD,MAA - HYD,21,160.0,80.95207282854525,20,120344.43
