passenger_id,candidate_source_row,candidate_count,null_count,aadhaar_has_expected_length,candidate_rank,is_survivor,rule_used
P1034,37,2,0,True,1,True,lexicographic_email
P1034,36,2,0,True,2,False,lexicographic_email
P1102,106,2,0,True,1,True,lexicographic_email
P1102,105,2,0,True,2,False,lexicographic_email
P1104,108,3,0,True,1,True,lexicographic_email
P1104,109,3,0,True,2,False,lexicographic_email
P1104,110,3,0,True,3,False,lexicographic_email
P1108,114,2,0,True,1,True,fewest_nulls
P1108,115,2,1,True,2,False,fewest_nulls
P1140,148,2,0,True,1,True,lexicographic_email
P1140,147,2,0,True,2,False,lexicographic_email
P1141,149,2,0,True,1,True,fewest_nulls
P1141,150,2,1,True,2,False,fewest_nulls
P1178,187,2,0,True,1,True,fewest_nulls
P1178,188,2,1,True,2,False,fewest_nulls
P1216,227,2,0,True,1,True,lexicographic_email
P1216,226,2,0,True,2,False,lexicographic_email
P1236,247,2,0,True,1,True,fewest_nulls
P1236,248,2,1,True,2,False,fewest_nulls
P1252,265,2,0,True,1,True,lexicographic_email
P1252,264,2,0,True,2,False,lexicographic_email
P1331,344,2,0,True,1,True,lexicographic_email
P1331,345,2,0,True,2,False,lexicographic_email
P1408,423,3,0,True,1,True,lexicographic_email
P1408,422,3,0,True,2,False,lexicographic_email
P1408,424,3,0,True,3,False,lexicographic_email
P1413,429,2,0,True,1,True,lexicographic_email
P1413,430,2,0,True,2,False,lexicographic_email
P1469,486,2,0,True,1,True,lexicographic_email
P1469,487,2,0,True,2,False,lexicographic_email
P1542,561,2,0,True,1,True,lexicographic_email
P1542,560,2,0,True,2,False,lexicographic_email
P1615,635,2,0,True,1,True,lexicographic_email
P1615,634,2,0,True,2,False,lexicographic_email
P1630,650,2,0,True,1,True,lexicographic_email
P1630,651,2,0,True,2,False,lexicographic_email
P1695,717,2,0,True,1,True,lexicographic_email
P1695,716,2,0,True,2,False,lexicographic_email
P1711,733,2,0,True,1,True,lexicographic_email
P1711,734,2,0,True,2,False,lexicographic_email
P1727,751,2,0,True,1,True,lexicographic_email
P1727,750,2,0,True,2,False,lexicographic_email
P1728,752,2,0,True,1,True,lexicographic_email
P1728,753,2,0,True,2,False,lexicographic_email
P1781,806,2,0,True,1,True,fewest_nulls
P1781,807,2,1,True,2,False,fewest_nulls
P1807,833,2,0,True,1,True,lexicographic_email
P1807,834,2,0,True,2,False,lexicographic_email
P1811,840,3,0,True,1,True,lexicographic_email
P1811,838,3,0,True,2,False,lexicographic_email
P1811,839,3,0,True,3,False,lexicographic_email
P1858,888,2,0,True,1,True,lexicographic_email
P1858,887,2,0,True,2,False,lexicographic_email
P1875,905,2,0,True,1,True,lexicographic_email
P1875,906,2,0,True,2,False,lexicographic_email
P1889,920,2,0,True,1,True,fewest_nulls
P1889,921,2,1,True,2,False,fewest_nulls
P1905,938,2,0,True,1,True,lexicographic_email
P1905,937,2,0,True,2,False,lexicographic_email
P1912,945,2,0,True,1,True,lexicographic_email
P1912,946,2,0,True,2,False,lexicographic_email
P1931,966,2,0,True,1,True,lexicographic_email
P1931,965,2,0,True,2,False,lexicographic_email
P1944,979,2,0,True,1,True,fewest_nulls
P1944,980,2,1,True,2,False,fewest_nulls
P1982,1018,2,0,True,1,True,lexicographic_email
P1982,1019,2,0,True,2,False,lexicographic_email
P1985,1022,2,0,True,1,True,fewest_nulls
P1985,1023,2,1,True,2,False,fewest_nulls
P1991,1029,2,0,True,1,True,lexicographic_email
P1991,1030,2,0,True,2,False,lexicographic_email
P1994,1033,2,0,True,1,True,fewest_nulls
P1994,1034,2,1,True,2,False,fewest_nulls
P1999,1039,2,0,True,1,True,fewest_nulls
P1999,1040,2,1,True,2,False,fewest_nulls
